,'fuel price','carbon content','carbon price','taxes'
'biogas',80.39533462,0,0.0234675,0.05
'coal',8.802428771,339.732,0.0234675,35.5
'electricity',timeVar,timeVar,0.0234675,12.0
'excess heat',0,0,0.0234675,0.0
'fuel oil',29.60029213,285.084,0.0234675,34.0
'gas oil',47.2187556,266.76,0.0234675,33.7
'municipal waste',-19.696608,153,0.0234675,0.0
'natural gas',22.3179948,178.2460691,0.0234675,32.3
'wood chips',25.8614532,0,0.0234675,0.0
'wood pellets',34.9180308,0,0.0234675,0.0
'wood waste',12.069,0,0.0234675,0.0
