,EC,FC,HP_EHR
T0841,1,1,1
T0842,1,1,1
T0843,1,1,1
T0844,1,1,1
T0845,1,1,1
T0846,1,1,1
T0847,1,1,1
T0848,1,1,1
T0849,1,1,1
T0850,1,1,1
T0851,1,1,1
T0852,1,1,1
T0853,1,1,1
T0854,1,1,1
T0855,1,1,1
T0856,1,1,1
T0857,1,1,1
T0858,1,1,1
T0859,1,1,1
T0860,1,1,1
T0861,1,1,1
T0862,1,1,1
T0863,1,1,1
T0864,1,1,1
T0865,1,1,1
T0866,1,1,1
T0867,1,1,1
T0868,1,1,1
T0869,1,1,1
T0870,1,1,1
T0871,1,1,1
T0872,1,1,1
T0873,1,1,1
T0874,1,1,1
T0875,1,1,1
T0876,1,1,1
T0877,1,1,1
T0878,1,1,1
T0879,1,1,1
T0880,1,1,1
T0881,1,1,1
T0882,1,1,1
T0883,1,1,1
T0884,1,1,1
T0885,1,1,1
T0886,1,1,1
T0887,1,1,1
T0888,1,1,1
T0889,1,1,1
T0890,1,1,1
T0891,1,1,1
T0892,1,1,1
T0893,1,1,1
T0894,1,1,1
T0895,1,1,1
T0896,1,1,1
T0897,1,1,1
T0898,1,1,1
T0899,1,1,1
T0900,1,1,1
T0901,1,1,1
T0902,1,1,1
T0903,1,1,1
T0904,1,1,1
T0905,1,1,1
T0906,1,1,1
T0907,1,1,1
T0908,1,1,1
T0909,1,1,1
T0910,1,1,1
T0911,1,1,1
T0912,1,1,1
T0913,1,1,1
T0914,1,1,1
T0915,1,1,1
T0916,1,1,1
T0917,1,1,1
T0918,1,1,1
T0919,1,1,1
T0920,1,1,1
T0921,1,1,1
T0922,1,1,1
T0923,1,1,1
T0924,1,1,1
T0925,1,1,1
T0926,1,1,1
T0927,1,1,1
T0928,1,1,1
T0929,1,1,1
T0930,1,1,1
T0931,1,1,1
T0932,1,1,1
T0933,1,1,1
T0934,1,1,1
T0935,1,1,1
T0936,1,1,1
T0937,1,1,1
T0938,1,1,1
T0939,1,1,1
T0940,1,1,1
T0941,1,1,1
T0942,1,1,1
T0943,1,1,1
T0944,1,1,1
T0945,1,1,1
T0946,1,1,1
T0947,1,1,1
T0948,1,1,1
T0949,1,1,1
T0950,1,1,1
T0951,1,1,1
T0952,1,1,1
T0953,1,1,1
T0954,1,1,1
T0955,1,1,1
T0956,1,1,1
T0957,1,1,1
T0958,1,1,1
T0959,1,1,1
T0960,1,1,1
T0961,1,1,1
T0962,1,1,1
T0963,1,1,1
T0964,1,1,1
T0965,1,1,1
T0966,1,1,1
T0967,1,1,1
T0968,1,1,1
T0969,1,1,1
T0970,1,1,1
T0971,1,1,1
T0972,1,1,1
T0973,1,1,1
T0974,1,1,1
T0975,1,1,1
T0976,1,1,1
T0977,1,1,1
T0978,1,1,1
T0979,1,1,1
T0980,1,1,1
T0981,1,1,1
T0982,1,1,1
T0983,1,1,1
T0984,1,1,1
T0985,1,1,1
T0986,1,1,1
T0987,1,1,1
T0988,1,1,1
T0989,1,1,1
T0990,1,1,1
T0991,1,1,1
T0992,1,1,1
T0993,1,1,1
T0994,1,1,1
T0995,1,1,1
T0996,1,1,1
T0997,1,1,1
T0998,1,1,1
T0999,1,1,1
T1000,1,1,1
T1001,1,1,1
T1002,1,1,1
T1003,1,1,1
T1004,1,1,1
T1005,1,1,1
T1006,1,1,1
T1007,1,1,1
T1008,1,1,1
T3025,1,1,1
T3026,1,1,1
T3027,1,1,1
T3028,1,1,1
T3029,1,1,1
T3030,1,1,1
T3031,1,1,1
T3032,1,1,1
T3033,1,1,1
T3034,1,1,1
T3035,1,1,1
T3036,1,1,1
T3037,1,1,1
T3038,1,0,1
T3039,1,1,1
T3040,1,0,1
T3041,1,0,1
T3042,1,0,1
T3043,1,1,1
T3044,1,1,1
T3045,1,1,1
T3046,1,1,1
T3047,1,1,1
T3048,1,1,1
T3049,1,1,1
T3050,1,1,1
T3051,1,1,1
T3052,1,1,1
T3053,1,1,1
T3054,1,1,1
T3055,1,1,1
T3056,1,1,1
T3057,1,1,1
T3058,1,1,1
T3059,1,1,1
T3060,1,1,1
T3061,1,0,1
T3062,1,0,1
T3063,1,0,1
T3064,1,0,1
T3065,1,0,1
T3066,1,0,1
T3067,1,0,1
T3068,1,0,1
T3069,1,1,1
T3070,1,1,1
T3071,1,1,1
T3072,1,1,1
T3073,1,1,1
T3074,1,1,1
T3075,1,1,1
T3076,1,1,1
T3077,1,1,1
T3078,1,1,1
T3079,1,1,1
T3080,1,1,1
T3081,1,1,1
T3082,1,1,1
T3083,1,1,1
T3084,1,0,1
T3085,1,0,1
T3086,1,0,1
T3087,1,0,1
T3088,1,0,1
T3089,1,1,1
T3090,1,1,1
T3091,1,1,1
T3092,1,1,1
T3093,1,1,1
T3094,1,1,1
T3095,1,1,1
T3096,1,1,1
T3097,1,1,1
T3098,1,1,1
T3099,1,1,1
T3100,1,1,1
T3101,1,1,1
T3102,1,1,1
T3103,1,1,1
T3104,1,1,1
T3105,1,1,1
T3106,1,1,1
T3107,1,1,1
T3108,1,0,1
T3109,1,0,1
T3110,1,0,1
T3111,1,0,1
T3112,1,0,1
T3113,1,1,1
T3114,1,1,1
T3115,1,1,1
T3116,1,1,1
T3117,1,1,1
T3118,1,1,1
T3119,1,1,1
T3120,1,1,1
T3121,1,1,1
T3122,1,1,1
T3123,1,1,1
T3124,1,1,1
T3125,1,1,1
T3126,1,1,1
T3127,1,1,1
T3128,1,1,1
T3129,1,1,1
T3130,1,1,1
T3131,1,1,1
T3132,1,1,1
T3133,1,1,1
T3134,1,1,1
T3135,1,1,1
T3136,1,1,1
T3137,1,1,1
T3138,1,1,1
T3139,1,1,1
T3140,1,1,1
T3141,1,1,1
T3142,1,1,1
T3143,1,1,1
T3144,1,1,1
T3145,1,1,1
T3146,1,1,1
T3147,1,1,1
T3148,1,1,1
T3149,1,1,1
T3150,1,1,1
T3151,1,1,1
T3152,1,1,1
T3153,1,1,1
T3154,1,1,1
T3155,1,1,1
T3156,1,1,1
T3157,1,1,1
T3158,1,1,1
T3159,1,1,1
T3160,1,1,1
T3161,1,1,1
T3162,1,1,1
T3163,1,1,1
T3164,1,1,1
T3165,1,1,1
T3166,1,1,1
T3167,1,1,1
T3168,1,1,1
T3169,1,1,1
T3170,1,1,1
T3171,1,1,1
T3172,1,1,1
T3173,1,1,1
T3174,1,1,1
T3175,1,1,1
T3176,1,1,1
T3177,1,1,1
T3178,1,1,1
T3179,1,1,1
T3180,1,1,1
T3181,1,1,1
T3182,1,1,1
T3183,1,1,1
T3184,1,1,1
T3185,1,1,1
T3186,1,1,1
T3187,1,1,1
T3188,1,1,1
T3189,1,1,1
T3190,1,1,1
T3191,1,1,1
T3192,1,1,1
T5209,1,0,1
T5210,1,0,1
T5211,1,0,1
T5212,1,0,1
T5213,1,0,1
T5214,1,0,1
T5215,1,0,1
T5216,1,0,1
T5217,1,0,1
T5218,1,0,1
T5219,1,0,1
T5220,1,0,1
T5221,1,0,1
T5222,1,0,1
T5223,1,0,1
T5224,1,0,1
T5225,1,0,1
T5226,1,0,1
T5227,1,0,1
T5228,1,0,1
T5229,1,0,1
T5230,1,0,1
T5231,1,0,1
T5232,1,0,1
T5233,1,0,1
T5234,1,0,1
T5235,1,0,1
T5236,1,0,1
T5237,1,0,1
T5238,1,0,1
T5239,1,0,1
T5240,1,0,1
T5241,1,0,1
T5242,1,0,1
T5243,1,0,1
T5244,1,0,1
T5245,1,0,1
T5246,1,0,1
T5247,1,0,1
T5248,1,0,1
T5249,1,0,1
T5250,1,0,1
T5251,1,0,1
T5252,1,0,1
T5253,1,0,1
T5254,1,0,1
T5255,1,0,1
T5256,1,0,1
T5257,1,0,1
T5258,1,0,1
T5259,1,0,1
T5260,1,0,1
T5261,1,0,1
T5262,1,0,1
T5263,1,0,1
T5264,1,0,1
T5265,1,0,1
T5266,1,0,1
T5267,1,0,1
T5268,1,0,1
T5269,1,0,1
T5270,1,0,1
T5271,1,0,1
T5272,1,0,1
T5273,1,0,1
T5274,1,0,1
T5275,1,0,1
T5276,1,0,1
T5277,1,0,1
T5278,1,0,1
T5279,1,0,1
T5280,1,0,1
T5281,1,0,1
T5282,1,0,1
T5283,1,0,1
T5284,1,0,1
T5285,1,0,1
T5286,1,0,1
T5287,1,0,1
T5288,1,0,1
T5289,1,0,1
T5290,1,0,1
T5291,1,0,1
T5292,1,0,1
T5293,1,0,1
T5294,1,0,1
T5295,1,0,1
T5296,1,0,1
T5297,1,0,1
T5298,1,0,1
T5299,1,0,1
T5300,1,0,1
T5301,1,0,1
T5302,1,0,1
T5303,1,0,1
T5304,1,0,1
T5305,1,0,1
T5306,1,0,1
T5307,1,0,1
T5308,1,0,1
T5309,1,0,1
T5310,1,0,1
T5311,1,0,1
T5312,1,0,1
T5313,1,0,1
T5314,1,0,1
T5315,1,0,1
T5316,1,0,1
T5317,1,0,1
T5318,1,0,1
T5319,1,0,1
T5320,1,0,1
T5321,1,0,1
T5322,1,0,1
T5323,1,0,1
T5324,1,0,1
T5325,1,0,1
T5326,1,0,1
T5327,1,0,1
T5328,1,0,1
T5329,1,0,1
T5330,1,0,1
T5331,1,0,1
T5332,1,0,1
T5333,1,0,1
T5334,1,0,1
T5335,1,0,1
T5336,1,0,1
T5337,1,0,1
T5338,1,0,1
T5339,1,0,1
T5340,1,0,1
T5341,1,0,1
T5342,1,0,1
T5343,1,0,1
T5344,1,0,1
T5345,1,0,1
T5346,1,0,1
