,EC,FC,HP_EHR
T0841,5.21,23.1,1.929
T0842,5.241,23.1,1.929
T0843,5.271,23.1,1.929
T0844,5.34,23.1,1.929
T0845,5.401,23.1,1.929
T0846,5.439,23.1,1.929
T0847,5.492,23.1,1.929
T0848,5.569,23.1,1.929
T0849,5.508,23.1,1.929
T0850,5.325,23.1,1.929
T0851,5.172,23.1,1.929
T0852,5.073,23.1,1.929
T0853,5.028,23.1,1.929
T0854,4.997,23.1,1.929
T0855,4.974,23.1,1.929
T0856,5.02,23.1,1.929
T0857,5.028,23.1,1.929
T0858,5.043,23.1,1.929
T0859,5.035,23.1,1.929
T0860,5.058,23.1,1.929
T0861,5.058,23.1,1.929
T0862,5.02,23.1,1.929
T0863,5.035,23.1,1.929
T0864,5.035,23.1,1.929
T0865,5.043,23.1,1.929
T0866,5.02,23.1,1.929
T0867,4.997,23.1,1.929
T0868,4.982,23.1,1.929
T0869,4.997,23.1,1.929
T0870,5.012,23.1,1.929
T0871,4.982,23.1,1.929
T0872,4.959,23.1,1.929
T0873,4.944,23.1,1.929
T0874,4.913,23.1,1.929
T0875,4.86,23.1,1.929
T0876,4.845,23.1,1.929
T0877,4.837,23.1,1.929
T0878,4.814,23.1,1.929
T0879,4.791,23.1,1.929
T0880,4.784,23.1,1.929
T0881,4.829,23.1,1.929
T0882,4.883,23.1,1.929
T0883,4.959,23.1,1.929
T0884,5.005,23.1,1.929
T0885,5.005,23.1,1.929
T0886,4.974,23.1,1.929
T0887,4.997,23.1,1.929
T0888,5.012,23.1,1.929
T0889,5.043,23.1,1.929
T0890,5.043,23.1,1.929
T0891,5.066,23.1,1.929
T0892,5.096,23.1,1.929
T0893,5.119,23.1,1.929
T0894,5.119,23.1,1.929
T0895,5.127,23.1,1.929
T0896,5.119,23.1,1.929
T0897,5.111,23.1,1.929
T0898,5.104,23.1,1.929
T0899,5.104,23.1,1.929
T0900,5.104,23.1,1.929
T0901,5.096,23.1,1.929
T0902,5.088,23.1,1.929
T0903,5.066,23.1,1.929
T0904,5.058,23.1,1.929
T0905,5.073,23.1,1.929
T0906,5.066,23.1,1.929
T0907,5.066,23.1,1.929
T0908,5.073,23.1,1.929
T0909,5.073,23.1,1.929
T0910,5.073,23.1,1.929
T0911,5.081,23.1,1.929
T0912,5.081,23.1,1.929
T0913,5.088,23.1,1.929
T0914,5.088,23.1,1.929
T0915,5.073,23.1,1.929
T0916,5.073,23.1,1.929
T0917,5.066,23.1,1.929
T0918,5.073,23.1,1.929
T0919,5.088,23.1,1.929
T0920,5.127,23.1,1.929
T0921,5.104,23.1,1.929
T0922,5.066,23.1,1.929
T0923,5.05,23.1,1.929
T0924,5.035,23.1,1.929
T0925,5.035,23.1,1.929
T0926,5.035,23.1,1.929
T0927,5.066,23.1,1.929
T0928,5.081,23.1,1.929
T0929,5.096,23.1,1.929
T0930,5.081,23.1,1.929
T0931,5.043,23.1,1.929
T0932,5.012,23.1,1.929
T0933,5.02,23.1,1.929
T0934,5.02,23.1,1.929
T0935,4.997,23.1,1.929
T0936,4.974,23.1,1.929
T0937,4.951,23.1,1.929
T0938,4.951,23.1,1.929
T0939,4.967,23.1,1.929
T0940,4.974,23.1,1.929
T0941,5.005,23.1,1.929
T0942,4.989,23.1,1.929
T0943,4.997,23.1,1.929
T0944,4.989,23.1,1.929
T0945,4.982,23.1,1.929
T0946,4.959,23.1,1.929
T0947,4.944,23.1,1.929
T0948,4.921,23.1,1.929
T0949,4.906,23.1,1.929
T0950,4.89,23.1,1.929
T0951,4.906,23.1,1.929
T0952,4.89,23.1,1.929
T0953,4.837,23.1,1.929
T0954,4.837,23.1,1.929
T0955,4.807,23.1,1.929
T0956,4.807,23.1,1.929
T0957,4.814,23.1,1.929
T0958,4.814,23.1,1.929
T0959,4.776,23.1,1.929
T0960,4.837,23.1,1.929
T0961,4.845,23.1,1.929
T0962,4.829,23.1,1.929
T0963,4.822,23.1,1.929
T0964,4.875,23.1,1.929
T0965,4.928,23.1,1.929
T0966,4.928,23.1,1.929
T0967,4.936,23.1,1.929
T0968,4.913,23.1,1.929
T0969,5.005,23.1,1.929
T0970,4.997,23.1,1.929
T0971,4.959,23.1,1.929
T0972,4.868,23.1,1.929
T0973,4.86,23.1,1.929
T0974,4.951,23.1,1.929
T0975,4.974,23.1,1.929
T0976,4.997,23.1,1.929
T0977,5.02,23.1,1.929
T0978,5.058,23.1,1.929
T0979,5.066,23.1,1.929
T0980,5.073,23.1,1.929
T0981,5.142,23.1,1.929
T0982,5.157,23.1,1.929
T0983,5.165,23.1,1.929
T0984,5.188,23.1,1.929
T0985,5.21,23.1,1.929
T0986,5.188,23.1,1.929
T0987,5.203,23.1,1.929
T0988,5.218,23.1,1.929
T0989,5.233,23.1,1.929
T0990,5.21,23.1,1.929
T0991,5.21,23.1,1.929
T0992,5.226,23.1,1.929
T0993,5.18,23.1,1.929
T0994,5.21,23.1,1.929
T0995,5.165,23.1,1.929
T0996,5.081,23.1,1.929
T0997,5.043,23.1,1.929
T0998,4.989,23.1,1.929
T0999,4.967,23.1,1.929
T1000,5.028,23.1,1.929
T1001,5.073,23.1,1.929
T1002,5.134,23.1,1.929
T1003,5.149,23.1,1.929
T1004,5.127,23.1,1.929
T1005,5.127,23.1,1.929
T1006,5.165,23.1,1.929
T1007,5.165,23.1,1.929
T1008,5.149,23.1,1.929
T3025,4.799,23.1,2.098
T3026,4.822,23.1,2.098
T3027,4.845,23.1,2.098
T3028,4.852,23.1,2.098
T3029,4.868,23.1,2.098
T3030,4.814,23.1,2.098
T3031,4.73,23.1,2.098
T3032,4.654,23.1,2.098
T3033,4.563,23.1,2.098
T3034,4.471,23.1,2.098
T3035,4.387,23.1,2.098
T3036,4.342,23.1,2.098
T3037,4.319,23.1,2.098
T3038,4.296,23.1,2.098
T3039,4.304,23.1,2.098
T3040,4.296,23.1,2.098
T3041,4.296,23.1,2.098
T3042,4.296,23.1,2.098
T3043,4.326,23.1,2.098
T3044,4.418,23.1,2.098
T3045,4.608,23.1,2.098
T3046,4.654,23.1,2.098
T3047,4.654,23.1,2.098
T3048,4.685,23.1,2.098
T3049,4.723,23.1,2.098
T3050,4.761,23.1,2.098
T3051,4.852,23.1,2.098
T3052,4.921,23.1,2.098
T3053,5.028,23.1,2.098
T3054,4.928,23.1,2.098
T3055,4.822,23.1,2.098
T3056,4.738,23.1,2.098
T3057,4.647,23.1,2.098
T3058,4.586,23.1,2.098
T3059,4.494,23.1,2.098
T3060,4.349,23.1,2.098
T3061,4.281,23.1,2.098
T3062,4.174,23.1,2.098
T3063,4.159,23.1,2.098
T3064,4.159,23.1,2.098
T3065,4.113,23.1,2.098
T3066,4.136,23.1,2.098
T3067,4.151,23.1,2.098
T3068,4.25,23.1,2.098
T3069,4.349,23.1,2.098
T3070,4.502,23.1,2.098
T3071,4.601,23.1,2.098
T3072,4.707,23.1,2.098
T3073,4.89,23.1,2.098
T3074,4.906,23.1,2.12
T3075,4.898,23.1,2.12
T3076,4.89,23.1,2.12
T3077,4.852,23.1,2.12
T3078,4.738,23.1,2.12
T3079,4.669,23.1,2.12
