scenario,T,TECH,TYPE,F,value
S0,T0841,FC,CO,electricity,0.04329004329004329
S0,T0841,AMV1,BP,wood pellets,362.0
S0,T0841,AMV4,BP,wood chips,500.0
S0,T0841,ARC,BP,municipal waste,224.0
S0,T0841,ARGO5,BP,municipal waste,65.0
S0,T0841,ARGO6,BP,municipal waste,73.0
S0,T0841,KKV7,BP,wood chips,47.0
S0,T0841,KKV8,BP,wood chips,56.0
S0,T0841,VF5,BP,municipal waste,85.0
S0,T0841,VF6,BP,municipal waste,112.0
S0,T0841,HOB_EL,HO,electricity,120.0
S0,T0841,HOB_NG,HO,natural gas,196.43995830239982
S0,T0841,HOB_WP,HO,wood pellets,33.0
S0,T0841,HOB_WW,HO,wood waste,14.0
S0,T0841,DEH,HO,excess heat,8.0
S0,T0841,HP_AIR,HO,electricity,3.248
S0,T0842,FC,CO,electricity,0.04329004329004329
S0,T0842,AMV1,BP,wood pellets,362.0
S0,T0842,AMV4,BP,wood chips,500.0
S0,T0842,ARC,BP,municipal waste,224.0
S0,T0842,ARGO5,BP,municipal waste,65.0
S0,T0842,ARGO6,BP,municipal waste,73.0
S0,T0842,KKV7,BP,wood chips,47.0
S0,T0842,KKV8,BP,wood chips,56.0
S0,T0842,VF5,BP,municipal waste,85.0
S0,T0842,VF6,BP,municipal waste,112.0
S0,T0842,HOB_EL,HO,electricity,120.0
S0,T0842,HOB_NG,HO,natural gas,253.7845796616231
S0,T0842,HOB_WP,HO,wood pellets,33.0
S0,T0842,HOB_WW,HO,wood waste,14.0
S0,T0842,DEH,HO,excess heat,8.0
S0,T0842,HP_AIR,HO,electricity,3.248
S0,T0843,FC,CO,electricity,0.04329004329004329
S0,T0843,AMV1,BP,wood pellets,362.0
S0,T0843,AMV4,BP,wood chips,500.0
S0,T0843,ARC,BP,municipal waste,224.0
S0,T0843,ARGO5,BP,municipal waste,65.0
S0,T0843,ARGO6,BP,municipal waste,73.0
S0,T0843,KKV7,BP,wood chips,47.0
S0,T0843,KKV8,BP,wood chips,56.0
S0,T0843,VF5,BP,municipal waste,85.0
S0,T0843,VF6,BP,municipal waste,112.0
S0,T0843,HOB_EL,HO,electricity,120.0
S0,T0843,HOB_NG,HO,natural gas,329.5442689820115
S0,T0843,HOB_WP,HO,wood pellets,33.0
S0,T0843,HOB_WW,HO,wood waste,14.0
S0,T0843,DEH,HO,excess heat,8.0
S0,T0843,HP_AIR,HO,electricity,3.248
S0,T0844,FC,CO,electricity,0.04329004329004329
S0,T0844,AMV1,BP,wood pellets,362.0
S0,T0844,AMV4,BP,wood chips,500.0
S0,T0844,ARC,BP,municipal waste,224.0
S0,T0844,ARGO5,BP,municipal waste,65.0
S0,T0844,ARGO6,BP,municipal waste,73.0
S0,T0844,KKV7,BP,wood chips,47.0
S0,T0844,KKV8,BP,wood chips,56.0
S0,T0844,VF5,BP,municipal waste,85.0
S0,T0844,VF6,BP,municipal waste,112.0
S0,T0844,HOB_EL,HO,electricity,120.0
S0,T0844,HOB_NG,HO,natural gas,368.47382238006975
S0,T0844,HOB_WP,HO,wood pellets,33.0
S0,T0844,HOB_WW,HO,wood waste,14.0
S0,T0844,DEH,HO,excess heat,8.0
S0,T0844,HP_AIR,HO,electricity,3.248
S0,T0845,FC,CO,electricity,0.04329004329004329
S0,T0845,AMV1,BP,wood pellets,362.0
S0,T0845,AMV4,BP,wood chips,500.0
S0,T0845,ARC,BP,municipal waste,224.0
S0,T0845,ARGO5,BP,municipal waste,65.0
S0,T0845,ARGO6,BP,municipal waste,73.0
S0,T0845,KKV7,BP,wood chips,47.0
S0,T0845,KKV8,BP,wood chips,56.0
S0,T0845,VF5,BP,municipal waste,85.0
S0,T0845,VF6,BP,municipal waste,112.0
S0,T0845,HOB_EL,HO,electricity,120.0
S0,T0845,HOB_NG,HO,natural gas,451.0611621858949
S0,T0845,HOB_WP,HO,wood pellets,33.0
S0,T0845,HOB_WW,HO,wood waste,14.0
S0,T0845,DEH,HO,excess heat,8.0
S0,T0845,HP_AIR,HO,electricity,3.248
S0,T0846,FC,CO,electricity,0.04329004329004329
S0,T0846,AMV1,BP,wood pellets,362.0
S0,T0846,AMV4,BP,wood chips,500.0
S0,T0846,ARC,BP,municipal waste,224.0
S0,T0846,ARGO5,BP,municipal waste,65.0
S0,T0846,ARGO6,BP,municipal waste,73.0
S0,T0846,KKV7,BP,wood chips,47.0
S0,T0846,KKV8,BP,wood chips,56.0
S0,T0846,VF5,BP,municipal waste,85.0
S0,T0846,VF6,BP,municipal waste,112.0
S0,T0846,HOB_EL,HO,electricity,120.0
S0,T0846,HOB_NG,HO,natural gas,551.1242301470601
S0,T0846,HOB_WP,HO,wood pellets,33.0
S0,T0846,HOB_WW,HO,wood waste,14.0
S0,T0846,DEH,HO,excess heat,8.0
S0,T0846,HP_AIR,HO,electricity,3.248
S0,T0847,FC,CO,electricity,0.04329004329004329
S0,T0847,AVV1,EX,wood pellets,624.0
S0,T0847,AMV1,BP,wood pellets,362.0
S0,T0847,AMV4,BP,wood chips,500.0
S0,T0847,ARC,BP,municipal waste,224.0
S0,T0847,ARGO5,BP,municipal waste,65.0
S0,T0847,ARGO6,BP,municipal waste,73.0
S0,T0847,KKV7,BP,wood chips,47.0
S0,T0847,KKV8,BP,wood chips,56.0
S0,T0847,VF5,BP,municipal waste,85.0
S0,T0847,VF6,BP,municipal waste,112.0
S0,T0847,HOB_EL,HO,electricity,120.0
S0,T0847,HOB_NG,HO,natural gas,363.7806897738926
S0,T0847,HOB_WP,HO,wood pellets,33.0
S0,T0847,HOB_WW,HO,wood waste,14.0
S0,T0847,DEH,HO,excess heat,8.0
S0,T0847,HP_AIR,HO,electricity,3.248
S0,T0848,FC,CO,electricity,0.04329004329004329
S0,T0848,AVV1,EX,wood pellets,624.0
S0,T0848,AMV1,BP,wood pellets,362.0
S0,T0848,AMV4,BP,wood chips,500.0
S0,T0848,ARC,BP,municipal waste,224.0
S0,T0848,ARGO5,BP,municipal waste,65.0
S0,T0848,ARGO6,BP,municipal waste,73.0
S0,T0848,KKV7,BP,wood chips,47.0
S0,T0848,KKV8,BP,wood chips,56.0
S0,T0848,VF5,BP,municipal waste,85.0
S0,T0848,VF6,BP,municipal waste,112.0
S0,T0848,HOB_EL,HO,electricity,120.0
S0,T0848,HOB_NG,HO,natural gas,338.63257326903823
S0,T0848,HOB_WP,HO,wood pellets,33.0
S0,T0848,HOB_WW,HO,wood waste,14.0
S0,T0848,DEH,HO,excess heat,8.0
S0,T0848,HP_AIR,HO,electricity,3.248
S0,T0849,FC,CO,electricity,0.04329004329004329
S0,T0849,AVV1,EX,wood pellets,624.0
S0,T0849,AMV1,BP,wood pellets,362.0
S0,T0849,AMV4,BP,wood chips,500.0
S0,T0849,ARC,BP,municipal waste,224.0
S0,T0849,ARGO5,BP,municipal waste,65.0
S0,T0849,ARGO6,BP,municipal waste,73.0
S0,T0849,KKV7,BP,wood chips,47.0
S0,T0849,KKV8,BP,wood chips,56.0
S0,T0849,VF5,BP,municipal waste,85.0
S0,T0849,VF6,BP,municipal waste,112.0
S0,T0849,HOB_EL,HO,electricity,120.0
S0,T0849,HOB_NG,HO,natural gas,146.3364955991353
S0,T0849,HOB_WP,HO,wood pellets,33.0
S0,T0849,HOB_WW,HO,wood waste,14.0
S0,T0849,DEH,HO,excess heat,8.0
S0,T0849,HP_AIR,HO,electricity,3.248
S0,T0850,FC,CO,electricity,0.04329004329004329
S0,T0850,AMV1,BP,wood pellets,362.0
S0,T0850,AMV4,BP,wood chips,500.0
S0,T0850,ARC,BP,municipal waste,224.0
S0,T0850,ARGO5,BP,municipal waste,65.0
S0,T0850,ARGO6,BP,municipal waste,73.0
S0,T0850,KKV7,BP,wood chips,47.0
S0,T0850,KKV8,BP,wood chips,56.0
S0,T0850,VF5,BP,municipal waste,85.0
S0,T0850,VF6,BP,municipal waste,112.0
S0,T0850,HOB_EL,HO,electricity,120.0
S0,T0850,HOB_NG,HO,natural gas,254.85005538977845
S0,T0850,HOB_WP,HO,wood pellets,33.0
S0,T0850,HOB_WW,HO,wood waste,14.0
S0,T0850,DEH,HO,excess heat,8.0
S0,T0850,HP_AIR,HO,electricity,3.248
S0,T0851,FC,CO,electricity,0.04329004329004329
S0,T0851,AMV1,BP,wood pellets,362.0
S0,T0851,AMV4,BP,wood chips,500.0
S0,T0851,ARC,BP,municipal waste,224.0
S0,T0851,ARGO5,BP,municipal waste,65.0
S0,T0851,ARGO6,BP,municipal waste,73.0
S0,T0851,KKV7,BP,wood chips,47.0
S0,T0851,KKV8,BP,wood chips,56.0
S0,T0851,VF5,BP,municipal waste,85.0
S0,T0851,VF6,BP,municipal waste,112.0
S0,T0851,HOB_EL,HO,electricity,120.0
S0,T0851,HOB_NG,HO,natural gas,170.16329810822506
S0,T0851,HOB_WP,HO,wood pellets,33.0
S0,T0851,HOB_WW,HO,wood waste,14.0
S0,T0851,DEH,HO,excess heat,8.0
S0,T0851,HP_AIR,HO,electricity,3.248
S0,T0852,FC,CO,electricity,0.04329004329004329
S0,T0852,AMV1,BP,wood pellets,362.0
S0,T0852,AMV4,BP,wood chips,500.0
S0,T0852,ARC,BP,municipal waste,224.0
S0,T0852,ARGO5,BP,municipal waste,65.0
S0,T0852,ARGO6,BP,municipal waste,73.0
S0,T0852,KKV7,BP,wood chips,47.0
S0,T0852,KKV8,BP,wood chips,56.0
S0,T0852,VF5,BP,municipal waste,85.0
S0,T0852,VF6,BP,municipal waste,112.0
S0,T0852,HOB_EL,HO,electricity,120.0
S0,T0852,HOB_NG,HO,natural gas,156.4449291761862
S0,T0852,HOB_WP,HO,wood pellets,33.0
S0,T0852,HOB_WW,HO,wood waste,14.0
S0,T0852,DEH,HO,excess heat,8.0
S0,T0852,HP_AIR,HO,electricity,3.248
S0,T0853,FC,CO,electricity,0.04329004329004329
S0,T0853,AMV1,BP,wood pellets,362.0
S0,T0853,AMV4,BP,wood chips,500.0
S0,T0853,ARC,BP,municipal waste,224.0
S0,T0853,ARGO5,BP,municipal waste,65.0
S0,T0853,ARGO6,BP,municipal waste,73.0
S0,T0853,KKV7,BP,wood chips,47.0
S0,T0853,KKV8,BP,wood chips,56.0
S0,T0853,VF5,BP,municipal waste,85.0
S0,T0853,VF6,BP,municipal waste,112.0
S0,T0853,HOB_EL,HO,electricity,120.0
S0,T0853,HOB_NG,HO,natural gas,131.13914276841922
S0,T0853,HOB_WP,HO,wood pellets,33.0
S0,T0853,HOB_WW,HO,wood waste,14.0
S0,T0853,DEH,HO,excess heat,8.0
S0,T0853,HP_AIR,HO,electricity,3.248
S0,T0854,FC,CO,electricity,0.04329004329004329
S0,T0854,AMV1,BP,wood pellets,362.0
S0,T0854,AMV4,BP,wood chips,500.0
S0,T0854,ARC,BP,municipal waste,224.0
S0,T0854,ARGO5,BP,municipal waste,65.0
S0,T0854,ARGO6,BP,municipal waste,73.0
S0,T0854,KKV7,BP,wood chips,47.0
S0,T0854,KKV8,BP,wood chips,56.0
S0,T0854,VF5,BP,municipal waste,85.0
S0,T0854,VF6,BP,municipal waste,112.0
S0,T0854,HOB_EL,HO,electricity,120.0
S0,T0854,HOB_NG,HO,natural gas,83.50325927327363
S0,T0854,HOB_WP,HO,wood pellets,33.0
S0,T0854,HOB_WW,HO,wood waste,14.0
S0,T0854,DEH,HO,excess heat,8.0
S0,T0854,HP_AIR,HO,electricity,3.248
S0,T0855,FC,CO,electricity,0.04329004329004329
S0,T0855,AMV1,BP,wood pellets,362.0
S0,T0855,AMV4,BP,wood chips,500.0
S0,T0855,ARC,BP,municipal waste,224.0
S0,T0855,ARGO5,BP,municipal waste,65.0
S0,T0855,ARGO6,BP,municipal waste,73.0
S0,T0855,KKV7,BP,wood chips,47.0
S0,T0855,KKV8,BP,wood chips,56.0
S0,T0855,VF5,BP,municipal waste,85.0
S0,T0855,VF6,BP,municipal waste,112.0
S0,T0855,HOB_EL,HO,electricity,120.0
S0,T0855,HOB_NG,HO,natural gas,227.16104568104058
S0,T0855,HOB_WP,HO,wood pellets,33.0
S0,T0855,HOB_WW,HO,wood waste,14.0
S0,T0855,DEH,HO,excess heat,8.0
S0,T0855,HP_AIR,HO,electricity,3.248
S0,T0856,FC,CO,electricity,0.04329004329004329
S0,T0856,AMV1,BP,wood pellets,362.0
