scenario,T,TECH,TYPE,F,value
S0,T0841,FC,CO,electricity,1.0
S0,T0842,FC,CO,electricity,1.0
S0,T0843,FC,CO,electricity,1.0
S0,T0844,FC,CO,electricity,1.0
S0,T0845,FC,CO,electricity,1.0
S0,T0846,FC,CO,electricity,1.0
S0,T0847,FC,CO,electricity,1.0
S0,T0848,FC,CO,electricity,1.0
S0,T0849,FC,CO,electricity,1.0
S0,T0850,FC,CO,electricity,1.0
S0,T0851,FC,CO,electricity,1.0
S0,T0852,FC,CO,electricity,1.0
S0,T0853,FC,CO,electricity,1.0
S0,T0854,FC,CO,electricity,1.0
S0,T0855,FC,CO,electricity,1.0
S0,T0856,FC,CO,electricity,1.0
S0,T0857,FC,CO,electricity,1.0
S0,T0858,FC,CO,electricity,1.0
S0,T0859,FC,CO,electricity,1.0
S0,T0860,FC,CO,electricity,1.0
S0,T0861,FC,CO,electricity,1.0
S0,T0862,FC,CO,electricity,1.0
S0,T0863,FC,CO,electricity,1.0
S0,T0864,FC,CO,electricity,1.0
S0,T0865,FC,CO,electricity,1.0
S0,T0866,FC,CO,electricity,1.0
S0,T0867,FC,CO,electricity,1.0
S0,T0868,FC,CO,electricity,1.0
S0,T0869,FC,CO,electricity,1.0
S0,T0870,FC,CO,electricity,1.0
S0,T0871,FC,CO,electricity,1.0
S0,T0872,FC,CO,electricity,1.0
S0,T0873,FC,CO,electricity,1.0
S0,T0874,FC,CO,electricity,1.0
S0,T0875,FC,CO,electricity,1.0
S0,T0876,FC,CO,electricity,1.0
S0,T0877,FC,CO,electricity,1.0
S0,T0878,FC,CO,electricity,1.0
S0,T0879,FC,CO,electricity,1.0
S0,T0880,FC,CO,electricity,1.0
S0,T0881,FC,CO,electricity,1.0
S0,T0882,FC,CO,electricity,1.0
S0,T0883,FC,CO,electricity,1.0
S0,T0884,FC,CO,electricity,1.0
S0,T0885,FC,CO,electricity,1.0
S0,T0886,FC,CO,electricity,1.0
S0,T0887,FC,CO,electricity,1.0
S0,T0888,FC,CO,electricity,1.0
S0,T0889,FC,CO,electricity,1.0
S0,T0890,FC,CO,electricity,1.0
S0,T0891,FC,CO,electricity,1.0
S0,T0892,FC,CO,electricity,1.0
S0,T0893,FC,CO,electricity,1.0
S0,T0894,FC,CO,electricity,1.0
S0,T0895,FC,CO,electricity,1.0
S0,T0896,FC,CO,electricity,1.0
S0,T0897,FC,CO,electricity,1.0
