scenario,TECH,TYPE,F,value
S0,EC,CO,electricity,0.28273809523809523
S0,FC,CO,electricity,0.7172619047619048
S1,EC,CO,electricity,0.25
S1,FC,CO,electricity,0.015719696969696925
S1,HP_EHR,HR,electricity,0.7342803030303029
S2,EC,CO,electricity,0.25
S2,FC,CO,electricity,0.015719696969696936
S2,HP_EHR,HR,electricity,0.7342803030303026
S3,FC,CO,electricity,0.149307649196042
S3,HP_EHR,HR,electricity,0.8506923508039579
S4,FC,CO,electricity,0.05116148732220157
S4,HP_EHR,HR,electricity,0.9488385126777982
