scenario,TECH,TYPE,F,value
S0,AVV1,EX,wood pellets,0.01146538534113893
S0,AVV2,EX,wood pellets,0.0006062823686899818
S0,AMV1,BP,wood pellets,0.09267942185356982
S0,AMV4,BP,wood chips,0.3021786172518822
S0,ARC,BP,municipal waste,0.19119197675974667
S0,ARGO5,BP,municipal waste,0.046092185558244125
S0,ARGO6,BP,municipal waste,0.06326226907934164
S0,KKV7,BP,wood chips,0.019231002737939474
S0,KKV8,BP,wood chips,0.019453696203494623
S0,VF5,BP,municipal waste,0.06243107319735506
S0,VF6,BP,municipal waste,0.07814422124522855
S0,HOB_EL,HO,electricity,0.040820960272416426
S0,HOB_NG,HO,natural gas,0.03158550883964799
S0,HOB_WP,HO,wood pellets,0.013288307349035132
S0,HOB_WW,HO,wood waste,0.011776389137201526
S0,DEH,HO,excess heat,0.006727220032994382
S0,HP_AIR,HO,electricity,0.009065482772078104
S1,HP_EHR,HR,electricity,0.0011139598953206146
S1,AVV1,EX,wood pellets,0.01142697573474588
S1,AVV2,EX,wood pellets,0.0005994979377027216
S1,AMV1,BP,wood pellets,0.09239365561345463
S1,AMV4,BP,wood chips,0.30187304119381414
S1,ARC,BP,municipal waste,0.19119197675974667
S1,ARGO5,BP,municipal waste,0.046092185558244125
S1,ARGO6,BP,municipal waste,0.06326226907934164
S1,KKV7,BP,wood chips,0.01918921390732878
S1,KKV8,BP,wood chips,0.01940443401633013
S1,VF5,BP,municipal waste,0.06243107319735506
S1,VF6,BP,municipal waste,0.07814422124522855
S1,HOB_EL,HO,electricity,0.04076939113877298
S1,HOB_NG,HO,natural gas,0.03131639307715332
S1,HOB_WP,HO,wood pellets,0.013233845029087817
S1,HOB_WW,HO,wood waste,0.011774162382574796
S1,DEH,HO,excess heat,0.006727220032994382
S1,HP_AIR,HO,electricity,0.009056484200808101
S2,HP_EHR,HR,electricity,0.0011139598953206146
S2,AVV1,EX,wood pellets,0.01142697573474588
S2,AVV2,EX,wood pellets,0.0005994979377027216
S2,AMV1,BP,wood pellets,0.09239365561345463
S2,AMV4,BP,wood chips,0.30187304119381414
S2,ARC,BP,municipal waste,0.19119197675974667
S2,ARGO5,BP,municipal waste,0.046092185558244125
S2,ARGO6,BP,municipal waste,0.06326226907934164
S2,KKV7,BP,wood chips,0.01918921390732878
S2,KKV8,BP,wood chips,0.01940443401633013
S2,VF5,BP,municipal waste,0.06243107319735506
S2,VF6,BP,municipal waste,0.07814422124522855
S2,HOB_EL,HO,electricity,0.04076939113877298
S2,HOB_NG,HO,natural gas,0.03131639307715332
S2,HOB_WP,HO,wood pellets,0.013233845029087817
S2,HOB_WW,HO,wood waste,0.011774162382574796
S2,DEH,HO,excess heat,0.006727220032994382
S2,HP_AIR,HO,electricity,0.009056484200808101
S3,HP_EHR,HR,electricity,0.0012779146103960087
S3,AVV1,EX,wood pellets,0.011442770571181394
S3,AVV2,EX,wood pellets,0.0006062823686899821
S3,AMV1,BP,wood pellets,0.09253755885385083
S3,AMV4,BP,wood chips,0.3018797214576943
S3,ARC,BP,municipal waste,0.19089896881110574
S3,ARGO5,BP,municipal waste,0.046092185558244125
S3,ARGO6,BP,municipal waste,0.06326226907934164
S3,KKV7,BP,wood chips,0.01918921390732878
S3,KKV8,BP,wood chips,0.019406660770956857
S3,VF5,BP,municipal waste,0.06243107319735506
S3,VF6,BP,municipal waste,0.07806849914603345
S3,HOB_EL,HO,electricity,0.04078522147774326
S3,HOB_NG,HO,natural gas,0.031318654554149075
S3,HOB_WP,HO,wood pellets,0.013240593957540318
S3,HOB_WW,HO,wood waste,0.011774162382574796
S3,DEH,HO,excess heat,0.0067227665237409254
S3,HP_AIR,HO,electricity,0.009065482772078104
S4,HP_EHR,HR,electricity,0.0014263519207481877
S4,AVV1,EX,wood pellets,0.011440532762542147
S4,AVV2,EX,wood pellets,0.0006062823686899821
S4,AMV1,BP,wood pellets,0.09241837951446999
S4,AMV4,BP,wood chips,0.3018797214576943
S4,ARC,BP,municipal waste,0.19089896881110574
S4,ARGO5,BP,municipal waste,0.046092185558244125
S4,ARGO6,BP,municipal waste,0.06326226907934164
S4,KKV7,BP,wood chips,0.01918921390732878
S4,KKV8,BP,wood chips,0.01940443401633013
S4,VF5,BP,municipal waste,0.06243107319735506
S4,VF6,BP,municipal waste,0.07806849914603345
S4,HOB_EL,HO,electricity,0.04076939113877298
S4,HOB_NG,HO,natural gas,0.03132543898513634
S4,HOB_WP,HO,wood pellets,0.013233845029087817
S4,HOB_WW,HO,wood waste,0.011774162382574796
S4,DEH,HO,excess heat,0.0067227665237409254
S4,HP_AIR,HO,electricity,0.009056484200808101
