scenario,T,TECH,TYPE,F,value
S0,T0841,FC,CO,electricity,152.005512987013
S0,T0841,ARC,BP,municipal waste,34272.0
S0,T0841,ARGO5,BP,municipal waste,9945.0
S0,T0841,ARGO6,BP,municipal waste,11169.0
S0,T0841,VF5,BP,municipal waste,13005.0
S0,T0841,VF6,BP,municipal waste,17136.0
S0,T0841,HOB_EL,HO,electricity,8427.18564
S0,T0841,HOB_NG,HO,natural gas,35014.650381570675
S0,T0841,HP_AIR,HO,electricity,228.095824656
S0,T0842,FC,CO,electricity,189.22169913419913
S0,T0842,ARC,BP,municipal waste,34272.0
S0,T0842,ARGO5,BP,municipal waste,9945.0
S0,T0842,ARGO6,BP,municipal waste,11169.0
S0,T0842,VF5,BP,municipal waste,13005.0
S0,T0842,VF6,BP,municipal waste,17136.0
S0,T0842,HOB_EL,HO,electricity,10490.451
S0,T0842,HOB_NG,HO,natural gas,45236.10372288013
S0,T0842,HP_AIR,HO,electricity,283.9415404
S0,T0843,FC,CO,electricity,222.46237662337663
S0,T0843,ARC,BP,municipal waste,34272.0
S0,T0843,ARGO5,BP,municipal waste,9945.0
S0,T0843,ARGO6,BP,municipal waste,11169.0
S0,T0843,VF5,BP,municipal waste,13005.0
S0,T0843,VF6,BP,municipal waste,17136.0
S0,T0843,HOB_EL,HO,electricity,12333.31416
S0,T0843,HOB_NG,HO,natural gas,58739.97054047661
S0,T0843,HP_AIR,HO,electricity,333.821703264
S0,T0844,FC,CO,electricity,159.54287662337663
S0,T0844,ARC,BP,municipal waste,34272.0
S0,T0844,ARGO5,BP,municipal waste,9945.0
S0,T0844,ARGO6,BP,municipal waste,11169.0
S0,T0844,VF5,BP,municipal waste,13005.0
S0,T0844,VF6,BP,municipal waste,17136.0
S0,T0844,HOB_EL,HO,electricity,8845.05708
S0,T0844,HOB_NG,HO,natural gas,65679.01040549904
S0,T0844,HP_AIR,HO,electricity,239.40621163200004
S0,T0845,FC,CO,electricity,117.42717316017315
S0,T0845,ARC,BP,municipal waste,34272.0
S0,T0845,ARGO5,BP,municipal waste,9945.0
S0,T0845,ARGO6,BP,municipal waste,11169.0
S0,T0845,VF5,BP,municipal waste,13005.0
S0,T0845,VF6,BP,municipal waste,17136.0
S0,T0845,HOB_EL,HO,electricity,6510.16248
S0,T0845,HOB_NG,HO,natural gas,80399.87908331332
S0,T0845,HP_AIR,HO,electricity,176.208397792
S0,T0846,FC,CO,electricity,136.6339935064935
S0,T0846,ARC,BP,municipal waste,34272.0
S0,T0846,ARGO5,BP,municipal waste,9945.0
S0,T0846,ARGO6,BP,municipal waste,11169.0
S0,T0846,VF5,BP,municipal waste,13005.0
S0,T0846,VF6,BP,municipal waste,17136.0
S0,T0846,HOB_EL,HO,electricity,7574.9886
S0,T0846,HOB_NG,HO,natural gas,98235.72760947717
S0,T0846,HP_AIR,HO,electricity,205.02969144000002
S0,T0847,FC,CO,electricity,193.14703896103896
S0,T0847,ARC,BP,municipal waste,34272.0
S0,T0847,ARGO5,BP,municipal waste,9945.0
S0,T0847,ARGO6,BP,municipal waste,11169.0
S0,T0847,VF5,BP,municipal waste,13005.0
S0,T0847,VF6,BP,municipal waste,17136.0
S0,T0847,HOB_EL,HO,electricity,10708.071839999999
S0,T0847,HOB_NG,HO,natural gas,64842.47796668293
S0,T0847,HP_AIR,HO,electricity,289.831811136
S0,T0848,FC,CO,electricity,236.1583463203463
S0,T0848,ARC,BP,municipal waste,34272.0
S0,T0848,ARGO5,BP,municipal waste,9945.0
S0,T0848,ARGO6,BP,municipal waste,11169.0
S0,T0848,VF5,BP,municipal waste,13005.0
S0,T0848,VF6,BP,municipal waste,17136.0
S0,T0848,HOB_EL,HO,electricity,13092.618719999999
S0,T0848,HOB_NG,HO,natural gas,60359.9250544238
S0,T0848,HP_AIR,HO,electricity,354.373546688
S0,T0849,FC,CO,electricity,263.5023939393939
S0,T0849,ARC,BP,municipal waste,34272.0
S0,T0849,ARGO5,BP,municipal waste,9945.0
S0,T0849,ARGO6,BP,municipal waste,11169.0
S0,T0849,VF5,BP,municipal waste,13005.0
S0,T0849,VF6,BP,municipal waste,17136.0
S0,T0849,HOB_EL,HO,electricity,14608.57272
S0,T0849,HOB_NG,HO,natural gas,26083.905106415317
S0,T0849,HP_AIR,HO,electricity,395.40536828800003
S0,T0850,FC,CO,electricity,207.81770562770564
S0,T0850,ARC,BP,municipal waste,34272.0
S0,T0850,ARGO5,BP,municipal waste,9945.0
S0,T0850,ARGO6,BP,municipal waste,11169.0
S0,T0850,VF5,BP,municipal waste,13005.0
S0,T0850,VF6,BP,municipal waste,17136.0
S0,T0850,HOB_EL,HO,electricity,11521.4136
S0,T0850,HOB_NG,HO,natural gas,45426.02058314528
S0,T0850,HP_AIR,HO,electricity,311.84626144000003
S0,T0851,FC,CO,electricity,153.64540476190476
S0,T0851,ARC,BP,municipal waste,34272.0
S0,T0851,ARGO5,BP,municipal waste,9945.0
S0,T0851,ARGO6,BP,municipal waste,11169.0
S0,T0851,VF5,BP,municipal waste,13005.0
S0,T0851,VF6,BP,municipal waste,17136.0
S0,T0851,HOB_EL,HO,electricity,8518.10124
S0,T0851,HOB_NG,HO,natural gas,30330.938992882584
S0,T0851,HP_AIR,HO,electricity,230.55660689600003
S0,T0852,FC,CO,electricity,157.45490043290042
S0,T0852,ARC,BP,municipal waste,34272.0
S0,T0852,ARGO5,BP,municipal waste,9945.0
S0,T0852,ARGO6,BP,municipal waste,11169.0
S0,T0852,VF5,BP,municipal waste,13005.0
S0,T0852,VF6,BP,municipal waste,17136.0
S0,T0852,HOB_EL,HO,electricity,8729.29968
S0,T0852,HOB_NG,HO,natural gas,27885.693656283092
S0,T0852,HP_AIR,HO,electricity,236.273044672
S0,T0853,FC,CO,electricity,146.67160822510823
S0,T0853,ARC,BP,municipal waste,34272.0
S0,T0853,ARGO5,BP,municipal waste,9945.0
S0,T0853,ARGO6,BP,municipal waste,11169.0
S0,T0853,VF5,BP,municipal waste,13005.0
S0,T0853,VF6,BP,municipal waste,17136.0
S0,T0853,HOB_EL,HO,electricity,8131.473959999999
S0,T0853,HOB_NG,HO,natural gas,23375.036703614416
S0,T0853,HP_AIR,HO,electricity,220.091895184
S0,T0854,FC,CO,electricity,126.68851515151515
S0,T0854,ARC,BP,municipal waste,34272.0
S0,T0854,ARGO5,BP,municipal waste,9945.0
S0,T0854,ARGO6,BP,municipal waste,11169.0
S0,T0854,VF5,BP,municipal waste,13005.0
S0,T0854,VF6,BP,municipal waste,17136.0
S0,T0854,HOB_EL,HO,electricity,7023.61128
S0,T0854,HOB_NG,HO,natural gas,14884.127722499146
S0,T0854,HP_AIR,HO,electricity,190.105745312
S0,T0855,FC,CO,electricity,114.08950432900433
S0,T0855,ARC,BP,municipal waste,34272.0
S0,T0855,ARGO5,BP,municipal waste,9945.0
S0,T0855,ARGO6,BP,municipal waste,11169.0
S0,T0855,VF5,BP,municipal waste,13005.0
S0,T0855,VF6,BP,municipal waste,17136.0
S0,T0855,HOB_EL,HO,electricity,6325.12212
S0,T0855,HOB_NG,HO,natural gas,40490.563445291016
S0,T0855,HP_AIR,HO,electricity,171.199972048
S0,T0856,FC,CO,electricity,113.16547186147187
S0,T0856,ARC,BP,municipal waste,34272.0
S0,T0856,ARGO5,BP,municipal waste,9945.0
S0,T0856,ARGO6,BP,municipal waste,11169.0
S0,T0856,VF5,BP,municipal waste,13005.0
S0,T0856,VF6,BP,municipal waste,17136.0
S0,T0856,HOB_EL,HO,electricity,6273.89376
S0,T0856,HOB_NG,HO,natural gas,41367.077241551924
S0,T0856,HP_AIR,HO,electricity,169.81339110400003
S0,T0857,FC,CO,electricity,108.30145238095238
S0,T0857,ARC,BP,municipal waste,34272.0
S0,T0857,ARGO5,BP,municipal waste,9945.0
S0,T0857,ARGO6,BP,municipal waste,11169.0
S0,T0857,VF5,BP,municipal waste,13005.0
S0,T0857,VF6,BP,municipal waste,17136.0
S0,T0857,HOB_EL,HO,electricity,6004.2325200000005
S0,T0857,HOB_NG,HO,natural gas,47256.548874294036
S0,T0857,HP_AIR,HO,electricity,162.514560208
S0,T0858,FC,CO,electricity,100.6968354978355
S0,T0858,ARC,BP,municipal waste,34272.0
S0,T0858,ARGO5,BP,municipal waste,9945.0
S0,T0858,ARGO6,BP,municipal waste,11169.0
S0,T0858,VF5,BP,municipal waste,13005.0
S0,T0858,VF6,BP,municipal waste,17136.0
S0,T0858,HOB_EL,HO,electricity,5582.63256
S0,T0858,HOB_NG,HO,natural gas,44487.677897983354
S0,T0858,HP_AIR,HO,electricity,151.10325462400002
S0,T0859,FC,CO,electricity,109.31554112554112
S0,T0859,ARC,BP,municipal waste,34272.0
S0,T0859,ARGO5,BP,municipal waste,9945.0
S0,T0859,ARGO6,BP,municipal waste,11169.0
S0,T0859,VF5,BP,municipal waste,13005.0
S0,T0859,VF6,BP,municipal waste,17136.0
S0,T0859,HOB_EL,HO,electricity,6060.4536
S0,T0859,HOB_NG,HO,natural gas,43103.24240982801
S0,T0859,HP_AIR,HO,electricity,164.03627744000002
S0,T0860,FC,CO,electricity,109.20347835497836
S0,T0860,ARC,BP,municipal waste,34272.0
S0,T0860,ARGO5,BP,municipal waste,9945.0
S0,T0860,ARGO6,BP,municipal waste,11169.0
S0,T0860,VF5,BP,municipal waste,13005.0
S0,T0860,VF6,BP,municipal waste,17136.0
S0,T0860,HOB_EL,HO,electricity,6054.24084
S0,T0860,HOB_NG,HO,natural gas,33244.76036480313
S0,T0860,HP_AIR,HO,electricity,163.868118736
S0,T0861,FC,CO,electricity,114.05286796536797
S0,T0861,ARC,BP,municipal waste,34272.0
S0,T0861,ARGO5,BP,municipal waste,9945.0
S0,T0861,ARGO6,BP,municipal waste,11169.0
S0,T0861,VF5,BP,municipal waste,13005.0
S0,T0861,VF6,BP,municipal waste,17136.0
S0,T0861,HOB_EL,HO,electricity,6323.091
S0,T0861,HOB_NG,HO,natural gas,31860.32487664779
S0,T0861,HP_AIR,HO,electricity,171.14499640000003
S0,T0862,FC,CO,electricity,117.10867099567099
S0,T0862,ARC,BP,municipal waste,34272.0
S0,T0862,ARGO5,BP,municipal waste,9945.0
S0,T0862,ARGO6,BP,municipal waste,11169.0
S0,T0862,VF5,BP,municipal waste,13005.0
S0,T0862,VF6,BP,municipal waste,17136.0
S0,T0862,HOB_EL,HO,electricity,6492.50472
S0,T0862,HOB_NG,HO,natural gas,24753.851383687845
S0,T0862,HP_AIR,HO,electricity,175.730461088
S0,T0863,FC,CO,electricity,129.25739177489177
S0,T0863,ARC,BP,municipal waste,34272.0
S0,T0863,ARGO5,BP,municipal waste,9945.0
S0,T0863,ARGO6,BP,municipal waste,11169.0
S0,T0863,VF5,BP,municipal waste,13005.0
S0,T0863,VF6,BP,municipal waste,17136.0
S0,T0863,HOB_EL,HO,electricity,7166.0298
S0,T0863,HOB_NG,HO,natural gas,14549.260466624131
S0,T0863,HP_AIR,HO,electricity,193.96053992
S0,T0864,FC,CO,electricity,115.89728138528139
S0,T0864,ARC,BP,municipal waste,34272.0
S0,T0864,ARGO5,BP,municipal waste,9945.0
S0,T0864,ARGO6,BP,municipal waste,11169.0
S0,T0864,VF5,BP,municipal waste,13005.0
S0,T0864,VF6,BP,municipal waste,17136.0
S0,T0864,HOB_EL,HO,electricity,6425.3452800000005
S0,T0864,HOB_NG,HO,natural gas,7454.028589828014
S0,T0864,HP_AIR,HO,electricity,173.91267891200002
S0,T0865,FC,CO,electricity,119.83004545454546
S0,T0865,ARC,BP,municipal waste,34272.0
S0,T0865,ARGO5,BP,municipal waste,9945.0
S0,T0865,ARGO6,BP,municipal waste,11169.0
S0,T0865,VF5,BP,municipal waste,13005.0
S0,T0865,VF6,BP,municipal waste,17136.0
S0,T0865,HOB_EL,HO,electricity,6643.3777199999995
S0,T0865,HOB_NG,HO,natural gas,6415.701973711509
S0,T0865,HP_AIR,HO,electricity,179.81409028800002
S0,T0866,FC,CO,electricity,154.57645454545454
S0,T0866,ARC,BP,municipal waste,34272.0
S0,T0866,ARGO5,BP,municipal waste,9945.0
S0,T0866,ARGO6,BP,municipal waste,11169.0
S0,T0866,VF5,BP,municipal waste,13005.0
S0,T0866,VF6,BP,municipal waste,17136.0
S0,T0866,HOB_EL,HO,electricity,8569.71864
S0,T0866,HOB_NG,HO,natural gas,4506.482369416007
S0,T0866,HP_AIR,HO,electricity,231.953717856
S0,T0867,FC,CO,electricity,149.123038961039
S0,T0867,ARC,BP,municipal waste,34272.0
S0,T0867,ARGO5,BP,municipal waste,9945.0
S0,T0867,ARGO6,BP,municipal waste,11169.0
S0,T0867,VF5,BP,municipal waste,13005.0
S0,T0867,VF6,BP,municipal waste,17136.0
S0,T0867,HOB_EL,HO,electricity,8267.381280000001
S0,T0867,HP_AIR,HO,electricity,223.77045331200003
S0,T0868,FC,CO,electricity,150.04470995670997
S0,T0868,ARC,BP,municipal waste,34272.0
S0,T0868,ARGO5,BP,municipal waste,9945.0
S0,T0868,ARGO6,BP,municipal waste,11169.0
S0,T0868,VF5,BP,municipal waste,13005.0
S0,T0868,VF6,BP,municipal waste,17136.0
S0,T0868,HOB_EL,HO,electricity,8318.47872
S0,T0868,HOB_NG,HO,natural gas,13147.962554223059
S0,T0868,HP_AIR,HO,electricity,225.153490688
S0,T0869,FC,CO,electricity,139.87766666666667
S0,T0869,ARC,BP,municipal waste,34272.0
S0,T0869,ARGO5,BP,municipal waste,9945.0
S0,T0869,ARGO6,BP,municipal waste,11169.0
S0,T0869,VF5,BP,municipal waste,13005.0
S0,T0869,VF6,BP,municipal waste,17136.0
S0,T0869,HOB_EL,HO,electricity,7754.81784
S0,T0869,HOB_NG,HO,natural gas,31670.40801638264
S0,T0869,HP_AIR,HO,electricity,209.897069536
S0,T0870,FC,CO,electricity,132.3321212121212
S0,T0870,ARC,BP,municipal waste,34272.0
S0,T0870,ARGO5,BP,municipal waste,9945.0
S0,T0870,ARGO6,BP,municipal waste,11169.0
S0,T0870,VF5,BP,municipal waste,13005.0
S0,T0870,VF6,BP,municipal waste,17136.0
S0,T0870,HOB_EL,HO,electricity,7336.4928
S0,T0870,HOB_NG,HO,natural gas,48289.254682328625
S0,T0870,HP_AIR,HO,electricity,198.57440512
S0,T0871,FC,CO,electricity,138.34720562770562
S0,T0871,ARC,BP,municipal waste,34272.0
S0,T0871,ARGO5,BP,municipal waste,9945.0
S0,T0871,ARGO6,BP,municipal waste,11169.0
S0,T0871,VF5,BP,municipal waste,13005.0
S0,T0871,VF6,BP,municipal waste,17136.0
S0,T0871,HOB_EL,HO,electricity,7669.96908
S0,T0871,HOB_NG,HO,natural gas,48970.23081024248
S0,T0871,HP_AIR,HO,electricity,207.60049643200003
S0,T0872,FC,CO,electricity,126.07301948051949
S0,T0872,ARC,BP,municipal waste,34272.0
S0,T0872,ARGO5,BP,municipal waste,9945.0
S0,T0872,ARGO6,BP,municipal waste,11169.0
S0,T0872,VF5,BP,municipal waste,13005.0
S0,T0872,VF6,BP,municipal waste,17136.0
S0,T0872,HOB_EL,HO,electricity,6989.488200000001
S0,T0872,HOB_NG,HO,natural gas,44638.24910167513
S0,T0872,HP_AIR,HO,electricity,189.18214728000004
S0,T0873,FC,CO,electricity,128.78024025974025
S0,T0873,ARC,BP,municipal waste,34272.0
S0,T0873,ARGO5,BP,municipal waste,9945.0
S0,T0873,ARGO6,BP,municipal waste,11169.0
S0,T0873,VF5,BP,municipal waste,13005.0
S0,T0873,VF6,BP,municipal waste,17136.0
S0,T0873,HOB_EL,HO,electricity,7139.57652
S0,T0873,HOB_NG,HO,natural gas,33389.710760413
S0,T0873,HP_AIR,HO,electricity,193.24453780800002
S0,T0874,FC,CO,electricity,121.04267316017315
S0,T0874,ARC,BP,municipal waste,34272.0
S0,T0874,ARGO5,BP,municipal waste,9945.0
S0,T0874,ARGO6,BP,municipal waste,11169.0
S0,T0874,VF5,BP,municipal waste,13005.0
S0,T0874,VF6,BP,municipal waste,17136.0
S0,T0874,HOB_EL,HO,electricity,6710.6058
S0,T0874,HOB_NG,HO,natural gas,21783.821930948205
S0,T0874,HP_AIR,HO,electricity,181.63373032
S0,T0875,FC,CO,electricity,118.45108225108225
S0,T0875,ARC,BP,municipal waste,34272.0
S0,T0875,ARGO5,BP,municipal waste,9945.0
S0,T0875,ARGO6,BP,municipal waste,11169.0
S0,T0875,VF5,BP,municipal waste,13005.0
S0,T0875,VF6,BP,municipal waste,17136.0
S0,T0875,HOB_EL,HO,electricity,6566.928
S0,T0875,HOB_NG,HO,natural gas,14844.78206592577
S0,T0875,HP_AIR,HO,electricity,177.74485120000003
S0,T0876,FC,CO,electricity,118.81379220779222
S0,T0876,ARC,BP,municipal waste,34272.0
S0,T0876,ARGO5,BP,municipal waste,9945.0
S0,T0876,ARGO6,BP,municipal waste,11169.0
S0,T0876,VF5,BP,municipal waste,13005.0
S0,T0876,VF6,BP,municipal waste,17136.0
S0,T0876,HOB_EL,HO,electricity,6587.03664
S0,T0876,HOB_NG,HO,natural gas,10518.421165440333
S0,T0876,HP_AIR,HO,electricity,178.28912505600002
S0,T0877,FC,CO,electricity,161.78291341991343
S0,T0877,ARC,BP,municipal waste,34272.0
S0,T0877,ARGO5,BP,municipal waste,9945.0
S0,T0877,ARGO6,BP,municipal waste,11169.0
S0,T0877,VF5,BP,municipal waste,13005.0
S0,T0877,VF6,BP,municipal waste,17136.0
S0,T0877,HOB_EL,HO,electricity,8969.24472
S0,T0877,HOB_NG,HO,natural gas,7743.929381047745
S0,T0877,HP_AIR,HO,electricity,242.76755708800002
S0,T0878,FC,CO,electricity,106.0106774891775
S0,T0878,ARC,BP,municipal waste,34272.0
S0,T0878,ARGO5,BP,municipal waste,9945.0
S0,T0878,ARGO6,BP,municipal waste,11169.0
S0,T0878,VF5,BP,municipal waste,13005.0
S0,T0878,VF6,BP,municipal waste,17136.0
S0,T0878,HOB_EL,HO,electricity,5877.23196
S0,T0878,HOB_NG,HO,natural gas,2027.5121843250538
S0,T0878,HP_AIR,HO,electricity,159.07707838400003
S0,T0879,FC,CO,electricity,111.83472943722944
S0,T0879,ARC,BP,municipal waste,34272.0
S0,T0879,ARGO5,BP,municipal waste,9945.0
S0,T0879,ARGO6,BP,municipal waste,11169.0
S0,T0879,VF5,BP,municipal waste,13005.0
S0,T0879,VF6,BP,municipal waste,17136.0
S0,T0879,HOB_EL,HO,electricity,6200.1174
S0,T0879,HP_AIR,HO,electricity,167.81651096000002
S0,T0880,FC,CO,electricity,117.1193051948052
S0,T0880,ARC,BP,municipal waste,34272.0
S0,T0880,ARGO5,BP,municipal waste,9945.0
S0,T0880,ARGO6,BP,municipal waste,11169.0
S0,T0880,VF5,BP,municipal waste,13005.0
S0,T0880,VF6,BP,municipal waste,17136.0
S0,T0880,HOB_EL,HO,electricity,6493.09428
S0,T0880,HOB_NG,HO,natural gas,11361.210113209778
S0,T0880,HP_AIR,HO,electricity,175.74641851200002
S0,T0881,FC,CO,electricity,141.0845476190476
S0,T0881,ARC,BP,municipal waste,34272.0
S0,T0881,ARGO5,BP,municipal waste,9945.0
S0,T0881,ARGO6,BP,municipal waste,11169.0
S0,T0881,VF5,BP,municipal waste,13005.0
S0,T0881,VF6,BP,municipal waste,17136.0
S0,T0881,HP_AIR,HO,electricity,211.70808612800002
S0,T0882,FC,CO,electricity,151.3039393939394
S0,T0882,ARC,BP,municipal waste,34272.0
S0,T0882,ARGO5,BP,municipal waste,9945.0
S0,T0882,ARGO6,BP,municipal waste,11169.0
S0,T0882,VF5,BP,municipal waste,13005.0
S0,T0882,VF6,BP,municipal waste,17136.0
S0,T0882,HP_AIR,HO,electricity,227.04306016000004
S0,T0883,FC,CO,electricity,140.6247186147186
S0,T0883,ARC,BP,municipal waste,34272.0
S0,T0883,ARGO5,BP,municipal waste,9945.0
S0,T0883,ARGO6,BP,municipal waste,11169.0
S0,T0883,VF5,BP,municipal waste,13005.0
S0,T0883,VF6,BP,municipal waste,17136.0
S0,T0883,HOB_EL,HO,electricity,7796.2344
S0,T0883,HP_AIR,HO,electricity,211.01807776
S0,T0884,FC,CO,electricity,142.59747835497836
S0,T0884,ARC,BP,municipal waste,34272.0
S0,T0884,ARGO5,BP,municipal waste,9945.0
S0,T0884,ARGO6,BP,municipal waste,11169.0
S0,T0884,VF5,BP,municipal waste,13005.0
S0,T0884,VF6,BP,municipal waste,17136.0
S0,T0884,HOB_EL,HO,electricity,7905.604200000001
S0,T0884,HP_AIR,HO,electricity,213.97835368000003
S0,T0885,FC,CO,electricity,129.32871428571428
S0,T0885,ARC,BP,municipal waste,34272.0
S0,T0885,ARGO5,BP,municipal waste,9945.0
S0,T0885,ARGO6,BP,municipal waste,11169.0
S0,T0885,VF5,BP,municipal waste,13005.0
S0,T0885,VF6,BP,municipal waste,17136.0
S0,T0885,HP_AIR,HO,electricity,194.067564768
S0,T0886,FC,CO,electricity,123.65917532467532
S0,T0886,ARC,BP,municipal waste,34272.0
S0,T0886,ARGO5,BP,municipal waste,9945.0
S0,T0886,ARGO6,BP,municipal waste,11169.0
S0,T0886,VF5,BP,municipal waste,13005.0
S0,T0886,VF6,BP,municipal waste,17136.0
S0,T0886,HOB_EL,HO,electricity,6855.66468
S0,T0886,HP_AIR,HO,electricity,185.559990672
S0,T0887,FC,CO,electricity,169.87545454545455
S0,T0887,ARC,BP,municipal waste,34272.0
S0,T0887,ARGO5,BP,municipal waste,9945.0
S0,T0887,ARGO6,BP,municipal waste,11169.0
S0,T0887,VF5,BP,municipal waste,13005.0
S0,T0887,VF6,BP,municipal waste,17136.0
S0,T0887,HOB_EL,HO,electricity,9417.8952
S0,T0887,HP_AIR,HO,electricity,254.91103008000002
S0,T0888,FC,CO,electricity,210.3270173160173
S0,T0888,ARC,BP,municipal waste,34272.0
S0,T0888,ARGO5,BP,municipal waste,9945.0
S0,T0888,ARGO6,BP,municipal waste,11169.0
S0,T0888,VF5,BP,municipal waste,13005.0
S0,T0888,VF6,BP,municipal waste,17136.0
S0,T0888,HOB_EL,HO,electricity,11660.52984
S0,T0888,HP_AIR,HO,electricity,315.611674336
S0,T0889,FC,CO,electricity,217.70653896103897
S0,T0889,ARC,BP,municipal waste,34272.0
S0,T0889,ARGO5,BP,municipal waste,9945.0
S0,T0889,ARGO6,BP,municipal waste,11169.0
S0,T0889,VF5,BP,municipal waste,13005.0
S0,T0889,VF6,BP,municipal waste,17136.0
S0,T0889,HOB_EL,HO,electricity,12069.65052
S0,T0889,HP_AIR,HO,electricity,326.68520740800005
S0,T0890,FC,CO,electricity,214.62520562770564
S0,T0890,ARC,BP,municipal waste,34272.0
S0,T0890,ARGO5,BP,municipal waste,9945.0
S0,T0890,ARGO6,BP,municipal waste,11169.0
S0,T0890,VF5,BP,municipal waste,13005.0
S0,T0890,VF6,BP,municipal waste,17136.0
S0,T0890,HOB_EL,HO,electricity,11605.689432837018
S0,T0890,HP_AIR,HO,electricity,322.06143256
S0,T0891,FC,CO,electricity,221.19388311688311
S0,T0891,ARC,BP,municipal waste,34272.0
S0,T0891,ARGO5,BP,municipal waste,9945.0
S0,T0891,ARGO6,BP,municipal waste,11169.0
S0,T0891,VF5,BP,municipal waste,13005.0
S0,T0891,VF6,BP,municipal waste,17136.0
S0,T0891,HOB_EL,HO,electricity,12262.98888
S0,T0891,HOB_NG,HO,natural gas,3306.3429334439033
S0,T0891,HP_AIR,HO,electricity,331.918232352
S0,T0892,FC,CO,electricity,229.27952164502165
S0,T0892,ARC,BP,municipal waste,34272.0
S0,T0892,ARGO5,BP,municipal waste,9945.0
S0,T0892,ARGO6,BP,municipal waste,11169.0
S0,T0892,VF5,BP,municipal waste,13005.0
S0,T0892,VF6,BP,municipal waste,17136.0
S0,T0892,HOB_EL,HO,electricity,12711.25668
S0,T0892,HOB_NG,HO,natural gas,9028.380938248505
S0,T0892,HP_AIR,HO,electricity,344.05134747200003
S0,T0893,FC,CO,electricity,228.26451515151516
S0,T0893,ARC,BP,municipal waste,34272.0
S0,T0893,ARGO5,BP,municipal waste,9945.0
S0,T0893,ARGO6,BP,municipal waste,11169.0
S0,T0893,VF5,BP,municipal waste,13005.0
S0,T0893,VF6,BP,municipal waste,17136.0
S0,T0893,HOB_EL,HO,electricity,12654.98472
S0,T0893,HOB_NG,HO,natural gas,21666.97557574789
S0,T0893,HP_AIR,HO,electricity,342.52825308800004
S0,T0894,FC,CO,electricity,293.40782034632036
S0,T0894,ARC,BP,municipal waste,34272.0
S0,T0894,ARGO5,BP,municipal waste,9945.0
S0,T0894,ARGO6,BP,municipal waste,11169.0
S0,T0894,VF5,BP,municipal waste,13005.0
S0,T0894,VF6,BP,municipal waste,17136.0
S0,T0894,HOB_EL,HO,electricity,7801.146947452856
S0,T0894,HP_AIR,HO,electricity,440.28073342400006
S0,T0895,FC,CO,electricity,390.62668398268397
S0,T0895,ARC,BP,municipal waste,34272.0
S0,T0895,ARGO5,BP,municipal waste,9945.0
S0,T0895,ARGO6,BP,municipal waste,11169.0
S0,T0895,VF5,BP,municipal waste,13005.0
S0,T0895,VF6,BP,municipal waste,17136.0
S0,T0895,HP_AIR,HO,electricity,586.165026944
S0,T0896,FC,CO,electricity,299.71832034632035
S0,T0896,ARC,BP,municipal waste,34272.0
S0,T0896,ARGO5,BP,municipal waste,9945.0
S0,T0896,ARGO6,BP,municipal waste,11169.0
S0,T0896,VF5,BP,municipal waste,13005.0
S0,T0896,VF6,BP,municipal waste,17136.0
S0,T0896,HP_AIR,HO,electricity,449.750118272
S0,T0897,FC,CO,electricity,302.2942489177489
S0,T0897,ARC,BP,municipal waste,34272.0
S0,T0897,ARGO5,BP,municipal waste,9945.0
S0,T0897,ARGO6,BP,municipal waste,11169.0
S0,T0897,VF5,BP,municipal waste,13005.0
S0,T0897,VF6,BP,municipal waste,17136.0
S0,T0897,HP_AIR,HO,electricity,453.615494864
S0,T0898,FC,CO,electricity,240.25029437229438
S0,T0898,ARC,BP,municipal waste,34272.0
