scenario,T,value
S0,T0841,11.949553257672413
S0,T0842,12.07024200194179
S0,T0843,12.220598753982587
S0,T0844,12.137917881600375
S0,T0845,12.108345390916694
S0,T0846,14.907334826933255
S0,T0847,18.052679173509727
S0,T0848,20.437905513291224
S0,T0849,18.531611130950836
S0,T0850,15.201555632348926
S0,T0851,12.594066634942813
S0,T0852,12.522814499375214
S0,T0853,12.418030514271935
S0,T0854,12.29967735778252
S0,T0855,12.239384327276374
S0,T0856,12.290590081406624
S0,T0857,12.31014090890833
S0,T0858,12.22053724138443
S0,T0859,12.129531395407989
S0,T0860,11.93451091644674
S0,T0861,11.873936320821953
S0,T0862,11.704298550462616
S0,T0863,11.48296575717395
S0,T0864,11.34815861601912
S0,T0865,11.32516065393223
S0,T0866,11.42646486907989
S0,T0867,11.467732929863434
S0,T0868,11.617952371007169
S0,T0869,11.836378137191874
S0,T0870,12.013295620757939
S0,T0871,12.295035277639979
S0,T0872,12.505661244831852
S0,T0873,12.549823637143222
S0,T0874,12.531424666016559
S0,T0875,12.453548944008194
S0,T0876,12.393437129706385
S0,T0877,12.477380648875043
S0,T0878,12.291418974113178
S0,T0879,12.429057855594912
S0,T0880,15.927622311414304
S0,T0881,21.731593222607547
S0,T0882,22.063036886770227
S0,T0883,16.11022570496756
S0,T0884,17.821181195412255
S0,T0885,19.34256742244964
S0,T0886,19.212328755200577
S0,T0887,17.990436029378625
S0,T0888,18.05140401735575
S0,T0889,17.689508716223113
S0,T0890,16.28513597133407
S0,T0891,15.251068884549333
S0,T0892,15.280998680260328
S0,T0893,15.73814969249061
S0,T0894,20.87173888258023
S0,T0895,23.68636689939911
S0,T0896,26.453308819877094
S0,T0897,23.062365897013485
S0,T0898,21.060768210252643
S0,T0899,20.09329950567685
S0,T0900,19.648158203047114
S0,T0901,18.837579638659097
S0,T0902,18.069663909347046
S0,T0903,17.84397614482844
S0,T0904,19.70054716008279
S0,T0905,20.70147047223455
S0,T0906,20.42621835925913
S0,T0907,18.799923702349776
S0,T0908,12.027616432723626
S0,T0909,11.932217214686753
S0,T0910,11.730510345984124
S0,T0911,11.611112258572891
S0,T0912,11.356883190682828
S0,T0913,11.284776998269033
S0,T0914,11.196739210832195
S0,T0915,11.13866829
S0,T0916,11.123556252895186
S0,T0917,11.087630826151416
S0,T0918,11.075120420095596
S0,T0919,11.121408000206555
S0,T0920,11.202576855320075
S0,T0921,11.272573251292249
S0,T0922,11.306820490798907
S0,T0923,11.320651612965175
S0,T0924,11.309163379550188
S0,T0925,11.343858108208432
S0,T0926,11.42617680961591
S0,T0927,11.504584453759815
S0,T0928,11.66204430116678
S0,T0929,12.017228618983442
S0,T0930,17.142041897639125
S0,T0931,11.958142191594401
S0,T0932,11.242329527579377
S0,T0933,11.078736563087231
S0,T0934,10.970018006852168
S0,T0935,10.737639647340389
S0,T0936,10.917356032000683
S0,T0937,10.797985182013486
S0,T0938,10.638640458630078
S0,T0939,9.862258609836976
S0,T0940,9.335161502318197
S0,T0941,8.243132449668828
S0,T0942,8.003692305064869
S0,T0943,8.395967351524412
S0,T0944,9.17448152476101
S0,T0945,9.789034217149197
S0,T0946,10.030339986609764
S0,T0947,10.027682323838341
S0,T0948,10.011357753461079
S0,T0949,10.016153030755378
S0,T0950,9.519562738341584
S0,T0951,9.501117050321781
S0,T0952,10.023070125194605
S0,T0953,10.624992498351826
S0,T0954,10.681480468310003
S0,T0955,9.540273938433764
S0,T0956,8.028509170737452
S0,T0957,7.774182114617616
S0,T0958,7.121606338592523
S0,T0959,6.654499658788835
S0,T0960,5.763480509856606
S0,T0961,5.7178390400998635
S0,T0962,5.7718399245817675
S0,T0963,5.774932186340047
S0,T0964,6.439685668840047
S0,T0965,6.702171279541652
S0,T0966,9.82400235740355
S0,T0967,11.23993576586719
S0,T0968,12.671691276170193
S0,T0969,11.114877973665926
S0,T0970,10.897138670582109
S0,T0971,10.927015143185388
S0,T0972,10.684128160962786
S0,T0973,10.7153152228747
S0,T0974,10.78524060727552
S0,T0975,10.812839525146808
S0,T0976,11.02147916682144
S0,T0977,11.279407160265448
S0,T0978,11.330620228717992
S0,T0979,11.090503421022532
S0,T0980,11.04080588990782
S0,T0981,10.870004675199727
S0,T0982,10.521617953723114
S0,T0983,8.44902518052919
S0,T0984,10.372208740530043
S0,T0985,8.377636034590305
S0,T0986,6.758385198563502
S0,T0987,6.736523692295151
S0,T0988,6.729842016721577
S0,T0989,7.217781185872311
S0,T0990,10.973210220252646
S0,T0991,11.203130743205017
S0,T0992,11.387614959713213
S0,T0993,11.126414567645101
S0,T0994,11.022962313387675
S0,T0995,11.015148600976442
S0,T0996,10.967618849498976
S0,T0997,10.937850643414135
S0,T0998,11.029746611830829
S0,T0999,11.02095900343718
S0,T1000,11.290967917312223
S0,T1001,11.401673059679924
S0,T1002,11.437048145535165
S0,T1003,11.402444378251962
S0,T1004,11.078299952832879
S0,T1005,10.898751154574088
S0,T1006,10.71404884622482
S0,T1007,9.096441946882894
S0,T1008,10.413765206928133
S0,T3025,12.191962983486123
S0,T3026,12.476913211536475
S0,T3027,12.5006327374653
S0,T3028,12.392257054981439
S0,T3029,14.141227231350873
