scenario,T,TECH,TYPE,F,value
S0,T0841,AMV1,BP,wood pellets,260.5946791862285
S0,T0841,AMV4,BP,wood chips,415.1359294636297
S0,T0841,ARC,BP,municipal waste,174.75177304964538
S0,T0841,ARGO5,BP,municipal waste,40.94488188976378
S0,T0841,ARGO6,BP,municipal waste,56.19751166407465
S0,T0841,KKV7,BP,wood chips,33.84
S0,T0841,KKV8,BP,wood chips,36.3898916967509
S0,T0841,VF5,BP,municipal waste,73.94551845342707
S0,T0841,VF6,BP,municipal waste,90.73649754500818
S0,T0841,HOB_EL,HO,electricity,118.8
S0,T0841,HOB_NG,HO,natural gas,202.3331570514718
S0,T0841,HOB_WP,HO,wood pellets,33.33
S0,T0841,HOB_WW,HO,wood waste,14.14
S0,T0841,DEH,HO,excess heat,8.0
S0,T0841,HP_AIR,HO,electricity,7.8601600000000005
S0,T0842,AMV1,BP,wood pellets,260.5946791862285
S0,T0842,AMV4,BP,wood chips,415.1359294636297
S0,T0842,ARC,BP,municipal waste,174.75177304964538
S0,T0842,ARGO5,BP,municipal waste,40.94488188976378
S0,T0842,ARGO6,BP,municipal waste,56.19751166407465
S0,T0842,KKV7,BP,wood chips,33.84
S0,T0842,KKV8,BP,wood chips,36.3898916967509
S0,T0842,VF5,BP,municipal waste,73.94551845342707
S0,T0842,VF6,BP,municipal waste,90.73649754500818
S0,T0842,HOB_EL,HO,electricity,118.8
S0,T0842,HOB_NG,HO,natural gas,261.3981170514718
S0,T0842,HOB_WP,HO,wood pellets,33.33
S0,T0842,HOB_WW,HO,wood waste,14.14
S0,T0842,DEH,HO,excess heat,8.0
S0,T0842,HP_AIR,HO,electricity,7.7952
S0,T0843,AMV1,BP,wood pellets,260.5946791862285
S0,T0843,AMV4,BP,wood chips,415.1359294636297
S0,T0843,ARC,BP,municipal waste,174.75177304964538
S0,T0843,ARGO5,BP,municipal waste,40.94488188976378
S0,T0843,ARGO6,BP,municipal waste,56.19751166407465
S0,T0843,KKV7,BP,wood chips,33.84
S0,T0843,KKV8,BP,wood chips,36.3898916967509
S0,T0843,VF5,BP,municipal waste,73.94551845342707
S0,T0843,VF6,BP,municipal waste,90.73649754500818
S0,T0843,HOB_EL,HO,electricity,118.8
S0,T0843,HOB_NG,HO,natural gas,339.4305970514718
S0,T0843,HOB_WP,HO,wood pellets,33.33
S0,T0843,HOB_WW,HO,wood waste,14.14
S0,T0843,DEH,HO,excess heat,8.0
S0,T0843,HP_AIR,HO,electricity,7.762720000000001
S0,T0844,AMV1,BP,wood pellets,260.5946791862285
S0,T0844,AMV4,BP,wood chips,415.1359294636297
S0,T0844,ARC,BP,municipal waste,174.75177304964538
S0,T0844,ARGO5,BP,municipal waste,40.94488188976378
S0,T0844,ARGO6,BP,municipal waste,56.19751166407465
S0,T0844,KKV7,BP,wood chips,33.84
S0,T0844,KKV8,BP,wood chips,36.3898916967509
S0,T0844,VF5,BP,municipal waste,73.94551845342707
S0,T0844,VF6,BP,municipal waste,90.73649754500818
S0,T0844,HOB_EL,HO,electricity,118.8
S0,T0844,HOB_NG,HO,natural gas,379.5280370514718
S0,T0844,HOB_WP,HO,wood pellets,33.33
S0,T0844,HOB_WW,HO,wood waste,14.14
S0,T0844,DEH,HO,excess heat,8.0
S0,T0844,HP_AIR,HO,electricity,7.66528
S0,T0845,AMV1,BP,wood pellets,260.5946791862285
S0,T0845,AMV4,BP,wood chips,415.1359294636297
S0,T0845,ARC,BP,municipal waste,174.75177304964538
S0,T0845,ARGO5,BP,municipal waste,40.94488188976378
S0,T0845,ARGO6,BP,municipal waste,56.19751166407465
S0,T0845,KKV7,BP,wood chips,33.84
S0,T0845,KKV8,BP,wood chips,36.3898916967509
S0,T0845,VF5,BP,municipal waste,73.94551845342707
S0,T0845,VF6,BP,municipal waste,90.73649754500818
S0,T0845,HOB_EL,HO,electricity,118.8
S0,T0845,HOB_NG,HO,natural gas,464.59299705147174
S0,T0845,HOB_WP,HO,wood pellets,33.33
S0,T0845,HOB_WW,HO,wood waste,14.14
S0,T0845,DEH,HO,excess heat,8.0
S0,T0845,HP_AIR,HO,electricity,7.60032
S0,T0846,AMV1,BP,wood pellets,260.5946791862285
S0,T0846,AMV4,BP,wood chips,415.1359294636297
S0,T0846,ARC,BP,municipal waste,174.75177304964538
S0,T0846,ARGO5,BP,municipal waste,40.94488188976378
S0,T0846,ARGO6,BP,municipal waste,56.19751166407465
S0,T0846,KKV7,BP,wood chips,33.84
S0,T0846,KKV8,BP,wood chips,36.3898916967509
S0,T0846,VF5,BP,municipal waste,73.94551845342707
S0,T0846,VF6,BP,municipal waste,90.73649754500818
S0,T0846,HOB_EL,HO,electricity,118.8
S0,T0846,HOB_NG,HO,natural gas,567.6579570514718
S0,T0846,HOB_WP,HO,wood pellets,33.33
S0,T0846,HOB_WW,HO,wood waste,14.14
S0,T0846,DEH,HO,excess heat,8.0
S0,T0846,HP_AIR,HO,electricity,7.53536
S0,T0847,AVV1,EX,wood pellets,291.0288065843622
S0,T0847,AMV1,BP,wood pellets,260.5946791862285
S0,T0847,AMV4,BP,wood chips,415.1359294636297
S0,T0847,ARC,BP,municipal waste,174.75177304964538
S0,T0847,ARGO5,BP,municipal waste,40.94488188976378
S0,T0847,ARGO6,BP,municipal waste,56.19751166407465
S0,T0847,KKV7,BP,wood chips,33.84
S0,T0847,KKV8,BP,wood chips,36.3898916967509
S0,T0847,VF5,BP,municipal waste,73.94551845342707
S0,T0847,VF6,BP,municipal waste,90.73649754500818
S0,T0847,HOB_EL,HO,electricity,118.8
S0,T0847,HOB_NG,HO,natural gas,374.6941104671094
S0,T0847,HOB_WP,HO,wood pellets,33.33
S0,T0847,HOB_WW,HO,wood waste,14.14
S0,T0847,DEH,HO,excess heat,8.0
S0,T0847,HP_AIR,HO,electricity,7.4704
S0,T0848,AVV1,EX,wood pellets,291.0288065843622
S0,T0848,AMV1,BP,wood pellets,260.5946791862285
S0,T0848,AMV4,BP,wood chips,415.1359294636297
S0,T0848,ARC,BP,municipal waste,174.75177304964538
S0,T0848,ARGO5,BP,municipal waste,40.94488188976378
S0,T0848,ARGO6,BP,municipal waste,56.19751166407465
S0,T0848,KKV7,BP,wood chips,33.84
S0,T0848,KKV8,BP,wood chips,36.3898916967509
S0,T0848,VF5,BP,municipal waste,73.94551845342707
S0,T0848,VF6,BP,municipal waste,90.73649754500818
S0,T0848,HOB_EL,HO,electricity,118.8
S0,T0848,HOB_NG,HO,natural gas,348.7915504671094
S0,T0848,HOB_WP,HO,wood pellets,33.33
S0,T0848,HOB_WW,HO,wood waste,14.14
S0,T0848,DEH,HO,excess heat,8.0
S0,T0848,HP_AIR,HO,electricity,7.372960000000001
S0,T0849,AVV1,EX,wood pellets,291.0288065843622
S0,T0849,AMV1,BP,wood pellets,260.5946791862285
S0,T0849,AMV4,BP,wood chips,415.1359294636297
S0,T0849,ARC,BP,municipal waste,174.75177304964538
S0,T0849,ARGO5,BP,municipal waste,40.94488188976378
S0,T0849,ARGO6,BP,municipal waste,56.19751166407465
S0,T0849,KKV7,BP,wood chips,33.84
S0,T0849,KKV8,BP,wood chips,36.3898916967509
S0,T0849,VF5,BP,municipal waste,73.94551845342707
S0,T0849,VF6,BP,municipal waste,90.73649754500818
S0,T0849,HOB_EL,HO,electricity,118.8
S0,T0849,HOB_NG,HO,natural gas,150.72659046710936
S0,T0849,HOB_WP,HO,wood pellets,33.33
S0,T0849,HOB_WW,HO,wood waste,14.14
S0,T0849,DEH,HO,excess heat,8.0
S0,T0849,HP_AIR,HO,electricity,7.437920000000001
