scenario,TECH,TYPE,F,value
S0,EC,CO,electricity,0.00330277513811633
S0,FC,CO,electricity,0.0013814833089940606
S0,AVV1,EX,wood pellets,0.021286136031168242
S0,AVV2,EX,wood pellets,0.005891218433249498
S0,AMV1,BP,wood pellets,0.10176736178613438
S0,AMV4,BP,wood chips,0.2876905423071245
S0,ARC,BP,municipal waste,0.19372169688983465
S0,ARGO5,BP,municipal waste,0.057839324093006926
S0,ARGO6,BP,municipal waste,0.06495801013522316
S0,KKV7,BP,wood chips,0.021113080660069745
S0,KKV8,BP,wood chips,0.02366418582780431
S0,VF5,BP,municipal waste,0.05672702939891064
S0,VF6,BP,municipal waste,0.07624564671249835
S0,HOB_EL,HO,electricity,0.032593439726562555
S0,HOB_NG,HO,natural gas,0.024240011784789538
S0,HOB_WP,HO,wood pellets,0.010399931153133942
S0,HOB_WW,HO,wood waste,0.009216646864230002
S0,DEH,HO,excess heat,0.005317626210098683
S0,HP_AIR,HO,electricity,0.002643853539050491
S1,EC,CO,electricity,0.003103720228300115
S1,FC,CO,electricity,8.442243580137979e-05
S1,HP_EHR,HR,electricity,0.016145588224667995
S1,AVV1,EX,wood pellets,0.019148094252077242
S1,AVV2,EX,wood pellets,0.005372942096255469
S1,AMV1,BP,wood pellets,0.09025033277595118
S1,AMV4,BP,wood chips,0.28310559907205585
S1,ARC,BP,municipal waste,0.20202267582412708
S1,ARGO5,BP,municipal waste,0.060317740391119354
S1,ARGO6,BP,municipal waste,0.06774146228541097
S1,KKV7,BP,wood chips,0.01849513560185226
S1,KKV8,BP,wood chips,0.02197965435905709
S1,VF5,BP,municipal waste,0.05915778384513629
S1,VF6,BP,municipal waste,0.07951277433605966
S1,HOB_EL,HO,electricity,0.0317626166783017
S1,HOB_NG,HO,natural gas,0.01513444278411407
S1,HOB_WP,HO,wood pellets,0.009093668600368771
S1,HOB_WW,HO,wood waste,0.00938471237495097
S1,DEH,HO,excess heat,0.005545486609110017
S1,HP_AIR,HO,electricity,0.0026411472252710075
S2,EC,CO,electricity,0.003103720228300115
S2,FC,CO,electricity,8.442243580137987e-05
S2,HP_EHR,HR,electricity,0.016145588224667995
S2,AVV1,EX,wood pellets,0.019148094252077242
S2,AVV2,EX,wood pellets,0.005372942096255469
S2,AMV1,BP,wood pellets,0.09025033277595118
S2,AMV4,BP,wood chips,0.28310559907205585
S2,ARC,BP,municipal waste,0.20202267582412708
S2,ARGO5,BP,municipal waste,0.060317740391119354
S2,ARGO6,BP,municipal waste,0.06774146228541097
S2,KKV7,BP,wood chips,0.01849513560185226
S2,KKV8,BP,wood chips,0.02197965435905709
S2,VF5,BP,municipal waste,0.05915778384513629
S2,VF6,BP,municipal waste,0.07951277433605966
S2,HOB_EL,HO,electricity,0.0317626166783017
S2,HOB_NG,HO,natural gas,0.01513444278411407
S2,HOB_WP,HO,wood pellets,0.009093668600368771
S2,HOB_WW,HO,wood waste,0.00938471237495097
S2,DEH,HO,excess heat,0.005545486609110017
S2,HP_AIR,HO,electricity,0.0026411472252710075
S3,FC,CO,electricity,0.0006760689445510401
S3,HP_EHR,HR,electricity,0.014587571072024866
S3,AVV1,EX,wood pellets,0.022155579637744182
S3,AVV2,EX,wood pellets,0.006131848399826386
S3,AMV1,BP,wood pellets,0.1002864921894662
S3,AMV4,BP,wood chips,0.28768727084281004
S3,ARC,BP,municipal waste,0.18206103826228098
S3,ARGO5,BP,municipal waste,0.06020180220870178
S3,ARGO6,BP,municipal waste,0.0676112547882343
S3,KKV7,BP,wood chips,0.021078244721720686
S3,KKV8,BP,wood chips,0.024033202408690214
S3,VF5,BP,municipal waste,0.05899977273169657
S3,VF6,BP,municipal waste,0.07811867587721669
S3,HOB_EL,HO,electricity,0.03266452432200216
S3,HOB_NG,HO,natural gas,0.01586061497650107
S3,HOB_WP,HO,wood pellets,0.010335165695369544
S3,HOB_WW,HO,wood waste,0.009366673793130624
S3,DEH,HO,excess heat,0.005434475555852829
S3,HP_AIR,HO,electricity,0.0027097235721753776
S4,EC,CO,electricity,0.003120885572686177
S4,FC,CO,electricity,0.0009755647453932836
S4,HP_EHR,HR,electricity,0.00536683380590884
S4,AVV1,EX,wood pellets,0.021553578258994118
S4,AVV2,EX,wood pellets,0.00596523659136378
S4,AMV1,BP,wood pellets,0.0985899625367185
S4,AMV4,BP,wood chips,0.287408616542721
S4,ARC,BP,municipal waste,0.19562753867873936
S4,ARGO5,BP,municipal waste,0.05856602609607252
S4,ARGO6,BP,municipal waste,0.0657741523848199
S4,KKV7,BP,wood chips,0.021111767314322273
S4,KKV8,BP,wood chips,0.023536886780845194
S4,VF5,BP,municipal waste,0.05743439000873816
S4,VF6,BP,municipal waste,0.07720360853276284
S4,HOB_EL,HO,electricity,0.031990609952376285
S4,HOB_NG,HO,natural gas,0.018525154402472672
S4,HOB_WP,HO,wood pellets,0.010153806214231132
S4,HOB_WW,HO,wood waste,0.009149709098102206
S4,DEH,HO,excess heat,0.005300866473337274
S4,HP_AIR,HO,electricity,0.0026448060093930354
